Title,Subtitle,Image,Author,Publication,Year,Month,Day,Tag,Reading_Time,Claps,Comment,url,Author_url
"Zomato, Bangalore Data Analysis",What and where to eat in Bangalorea data scientists guide,1,Shubhankar Rawat,Towards Data Science,2019,7,1,big-data,15,190,0,https://towardsdatascience.com/zomato-bangalore-data-analysis-6ee83652890f?source=tag_archive---------0-----------------------,https://towardsdatascience.com/@shubhankarrawatsam.1999?source=tag_archive---------0-----------------------
Recreating Myself from WhatsApp Chats,A chatbot that embodies my personality.,1,Yang Chun Wei,Towards Data Science,2019,7,1,big-data,5,108,0,https://towardsdatascience.com/recreating-myself-from-whatsapp-chats-6dadfaff0d2b?source=tag_archive---------1-----------------------,https://towardsdatascience.com/@yangcw?source=tag_archive---------1-----------------------
Logistic Regression with Apache Spark,Happy ML,1, .eranga,Rahasak-Labs,2019,7,1,big-data,3,3,0,https://medium.com/rahasak/logistic-regression-with-apache-spark-b7ec4c98cfcd?source=tag_archive---------2-----------------------,https://medium.com/@itseranga?source=tag_archive---------2-----------------------
Selecting the Right Scoring Pattern for Machine Learning,NaN,1,Alex Fly,Towards Data Science,2019,7,1,big-data,5,192,0,https://towardsdatascience.com/selecting-the-right-scoring-pattern-for-machine-learning-88898595a42f?source=tag_archive---------3-----------------------,https://towardsdatascience.com/@alex.fly?source=tag_archive---------3-----------------------
"On-Premises, Cloud or HybridThe Infrastructure to Use For Big Data and Analytics Solutions",NaN,1,Dataeaze Musings from the Big Data trenches,Dataeaze,2019,7,1,big-data,5,56,0,https://medium.com/dataeaze/on-premises-cloud-or-hybrid-the-infrastructure-to-use-for-big-data-and-analytics-solutions-ba7c1677b858?source=tag_archive---------4-----------------------,https://medium.com/@mike_41575?source=tag_archive---------4-----------------------
June 2019 Progress Update,Thought Leadership that Knows No Boundaries,1,Endor Protocol,ENDOR,2019,7,1,big-data,5,299,0,https://medium.com/endor/thought-leadership-that-knows-no-boundaries-6f968d2fe5cc?source=tag_archive---------5-----------------------,https://medium.com/@endorprotocol?source=tag_archive---------5-----------------------
Data Lake as an Efficient Response to Complexity,Do you have a complex data storage setup? Are you overwhelmed with the,1,Anton Lytunenko,GreenM,2019,7,1,big-data,8,386,0,https://medium.com/greenm/data-lake-as-an-efficient-response-to-complexity-a2bf54eaf4d2?source=tag_archive---------6-----------------------,https://medium.com/@antonlit?source=tag_archive---------6-----------------------
Press Coverage of the Early 2020 Primary,Observations of the early press coverage in the 2020,1,Stephen Godfrey,Towards Data Science,2019,7,1,big-data,5,22,0,https://towardsdatascience.com/press-coverage-of-the-early-2020-primary-65695f104633?source=tag_archive---------7-----------------------,https://towardsdatascience.com/@stevegodfrey_25218?source=tag_archive---------7-----------------------
Data Engineering Digest #1 (June 2019),This is the first post of a series that will be posted once a month highlighting what is,1,Maycon Viana Bordin,data.plumbers,2019,7,1,big-data,4,5,0,https://medium.com/data-plumbers/data-engineering-digest-1-june-2019-3db186fe181c?source=tag_archive---------8-----------------------,https://medium.com/@mayconbordin?source=tag_archive---------8-----------------------
What Is Alternative Data and Why Should You Care About It?,NaN,1,Atlan,Humans of Data,2019,7,1,big-data,6,1,0,https://medium.com/humans-of-data/what-is-alternative-data-and-why-should-you-care-about-it-bbddd7a83c2f?source=tag_archive---------9-----------------------,https://medium.com/@atlanhq?source=tag_archive---------9-----------------------
Everything You Need to Know About Informed Consent,NaN,1,Atlan,Humans of Data,2019,7,1,big-data,10,2,0,https://medium.com/humans-of-data/everything-you-need-to-know-about-informed-consent-91e89dbc3805?source=tag_archive---------10-----------------------,https://medium.com/@atlanhq?source=tag_archive---------10-----------------------
Thick Data e como as percepes humanas podem salvar o Big Data,NaN,1,Andressa Nunes Soilo,NaN,2019,7,1,big-data,4,4,0,https://medium.com/@andressasoilo/thick-data-e-como-as-percep%C3%A7%C3%B5es-humanas-podem-salvar-o-big-data-76d0c9ea5427?source=tag_archive---------11-----------------------,https://medium.com/@andressasoilo?source=tag_archive---------11-----------------------
Distribute your files with Hadoop,Now a days it is discussing more and more about big data concept. Big data is the term for a,1,Chirantha Jananath,NaN,2019,7,1,big-data,6,1,0,https://medium.com/@chiranthajtk/distribute-your-files-with-hadoop-252e54ccbbc8?source=tag_archive---------12-----------------------,https://medium.com/@chiranthajtk?source=tag_archive---------12-----------------------
Can You Run Big Data Queries on a Budget?,"This week, I had a cool idea.",1,Jonathan Baldie,NaN,2019,7,1,big-data,13,0,0,https://medium.com/@jonbaldie/can-you-run-big-data-queries-on-a-budget-201f72bff771?source=tag_archive---------13-----------------------,https://medium.com/@jonbaldie?source=tag_archive---------13-----------------------
201913(Q1),"(2841)201913(Q1)(1)31,6712018Q140,1758,504",1,Buffon Digital Technology,Buffondt,2019,7,1,big-data,2,0,0,https://medium.com/buffondt/2019%E5%B9%B41-3%E6%9C%88-q1-%E9%9B%BB%E7%87%88%E6%B3%A1%E5%8F%8A%E7%87%88%E7%AE%A1%E8%A3%BD%E9%80%A0%E6%A5%AD-%E9%8A%B7%E5%94%AE%E6%A6%82%E6%B3%81-680d50818ec6?source=tag_archive---------14-----------------------,https://medium.com/@buffondt.inc?source=tag_archive---------14-----------------------
  : 3    Hadoop,NaN,1,Nick Komissarenko,NaN,2019,7,1,big-data,4,0,0,https://medium.com/@bigdataschool/%D0%B7%D0%B0%D1%89%D0%B8%D1%82%D0%B8-%D1%81%D0%B2%D0%BE%D0%B5%D0%B3%D0%BE-%D1%81%D0%BB%D0%BE%D0%BD%D0%B0-3-%D0%B8%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B0-%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8-%D0%BA%D0%BB%D0%B0%D1%81%D1%82%D0%B5%D1%80%D0%B0-hadoop-aac4fdeaf79c?source=tag_archive---------15-----------------------,https://medium.com/@bigdataschool?source=tag_archive---------15-----------------------
A Recovering Academics Journey Into Data Science,As a business administration and social welfare,1,"Manisha Gupta, PhD",NaN,2019,7,1,big-data,3,0,0,https://medium.com/@magupt/a-recovering-academics-journey-into-data-science-2b6c169eafc3?source=tag_archive---------16-----------------------,https://medium.com/@magupt?source=tag_archive---------16-----------------------
Alibaba Cloud Career Learning Paths,Alibaba Clouds Online learning paths are a list of courses aimed to improve a skill set for a,1,James Fitzgerald,NaN,2019,7,1,big-data,2,0,0,https://medium.com/@jfitz721/alibaba-cloud-career-learning-paths-597c26c49f4f?source=tag_archive---------17-----------------------,https://medium.com/@jfitz721?source=tag_archive---------17-----------------------
Make Your Information Useful With A Data Strategy,NaN,1,Alberto Lobrano,NaN,2019,7,1,big-data,2,0,0,https://medium.com/@albertolobrano/make-your-information-useful-with-a-data-strategy-3997c742ba0c?source=tag_archive---------18-----------------------,https://medium.com/@albertolobrano?source=tag_archive---------18-----------------------
Kiss Me First: A Legislative Approach to Being Screwed By Data Collectors,NaN,1,The Scribe Network,Method to the Madness,2019,7,1,big-data,4,0,0,https://medium.com/method-to-the-madness/kiss-me-first-a-legislative-approach-to-being-screwed-by-data-collectors-a30ed45666e0?source=tag_archive---------19-----------------------,https://medium.com/@L_TheScribe?source=tag_archive---------19-----------------------
What is Big Data and how Big is it?,Data is being generated on a massive scale every minute from most actions you complete in a,1,Advanced Company Software,NaN,2019,7,1,big-data,3,0,0,https://medium.com/@acsdigitaluk/what-is-big-data-and-how-big-is-it-d0d696270993?source=tag_archive---------20-----------------------,https://medium.com/@acsdigitaluk?source=tag_archive---------20-----------------------
COMPETITIVE ADVANTAGE OF BIG DATA ANALYTICS IN BUSINESS WORLD,NaN,1,leviaajax,NaN,2019,7,1,big-data,4,0,0,https://medium.com/@leviaajax/competitive-advantage-of-big-data-analytics-in-business-world-75932475a6c2?source=tag_archive---------21-----------------------,https://medium.com/@leviaajax?source=tag_archive---------21-----------------------
Les dades ens faran viure millor,"Succeeix una cosa curiosa amb les dades. Per si mateixes, no sn noms que aix, dades. Valors",1,Javi Sanchez Pedrera,NaN,2019,7,1,big-data,8,0,0,https://medium.com/@javisanchezpedrera/les-dades-ens-faran-viure-millor-d758eb81b25c?source=tag_archive---------22-----------------------,https://medium.com/@javisanchezpedrera?source=tag_archive---------22-----------------------
Why Analytics Alone is Insufficient for Telcos Seeking Increase in CX and Profitability?,NaN,1,Subex,NaN,2019,7,1,big-data,3,0,0,https://medium.com/@subex/why-analytics-alone-is-insufficient-for-telcos-seeking-increase-in-cx-and-profitability-4dafa8af414?source=tag_archive---------23-----------------------,https://medium.com/@subex?source=tag_archive---------23-----------------------
NaN,NaN,0,Steve Hale,NaN,2019,7,1,big-data,5,0,0,https://medium.com/@jennifersmithcr/text-analytics-market-reached-the-market-value-of-us-4-63-aadda2ab1b3c?source=tag_archive---------24-----------------------,https://medium.com/@jennifersmithcr?source=tag_archive---------24-----------------------
Epiphany,During the run of the data analysis course at Gitgirl School Of Data I learnt so much. Ill share that with you but it will be paraphrased,0,Chinemerem Ojinkeya,NaN,2019,7,1,big-data,1,22,0,https://medium.com/@ojinkeya.cj/epiphany-5b1be62abdeb?source=tag_archive---------25-----------------------,https://medium.com/@ojinkeya.cj?source=tag_archive---------25-----------------------
Jump on board on the digital transformation train!,Digital transformation has been present over a,1,SolveoCo,NaN,2019,7,1,big-data,5,4,0,https://medium.com/@SolveoCo/jump-on-board-on-the-digital-transformation-train-4459edd661f8?source=tag_archive---------26-----------------------,https://medium.com/@SolveoCo?source=tag_archive---------26-----------------------
201913(Q1),"201913(Q1)()372,3282018Q1363,148()9,180",0,Buffon Digital Technology,Buffondt,2019,7,1,big-data,2,0,0,https://medium.com/buffondt/2019%E5%B9%B41-3%E6%9C%88-q1-%E9%A1%AF%E7%A4%BA%E5%99%A8%E5%8F%8A%E7%B5%82%E7%AB%AF%E6%A9%9F%E8%A3%BD%E9%80%A0%E6%A5%AD-%E9%8A%B7%E5%94%AE%E6%A6%82%E6%B3%81-f56c990bd33e?source=tag_archive---------27-----------------------,https://medium.com/@buffondt.inc?source=tag_archive---------27-----------------------
Data Ingestion: You Cant Get ROI Without Validated Data,you need efficient data,0,Ali Allage,NaN,2019,7,1,big-data,3,0,0,https://medium.com/@aliallage/data-ingestion-you-cant-get-roi-without-validated-data-7c85f58e38b4?source=tag_archive---------28-----------------------,https://medium.com/@aliallage?source=tag_archive---------28-----------------------
Understanding KafkaA Distributed Streaming Platform,NaN,1,Nimesh Khandelwal,The Startup,2019,7,2,big-data,7,559,0,https://medium.com/swlh/understanding-kafka-a-distributed-streaming-platform-9a0360b99de8?source=tag_archive---------0-----------------------,https://medium.com/@nimeshkhandelwa?source=tag_archive---------0-----------------------
Self-Study Guide: Microsoft Azure Certification DP-201 Designing an Azure Data Solution,NaN,1,Shivam Sharma,Applied Deep Learning,2019,7,2,big-data,5,189,0,https://medium.com/deep-ai/self-study-guide-microsoft-azure-certification-dp-201-designing-an-azure-data-solution-6a1d35a14d73?source=tag_archive---------1-----------------------,https://medium.com/@shivamsblog61?source=tag_archive---------1-----------------------
Why Big Data And Machine Learning Are Important In Our Society,NaN,1,Terence Mills,AI.io,2019,7,2,big-data,5,144,0,https://medium.com/ai-io/why-big-data-and-machine-learning-are-important-in-our-society-805f4824ca1c?source=tag_archive---------2-----------------------,https://medium.com/@terence_mills?source=tag_archive---------2-----------------------
Implement Oracle Stream Analytics (OSA) and Big Data Solution,NaN,1,Applications Technology,ATGWork,2019,7,2,big-data,8,3,0,https://medium.com/atgwork/implement-oracle-stream-analytics-osa-and-big-data-solution-33437fe736e0?source=tag_archive---------3-----------------------,https://medium.com/@cloud_86855?source=tag_archive---------3-----------------------
Where Does Your Company Fit on the Data Science Maturity Curve?,NaN,1,Kevin Balentine,NaN,2019,7,2,big-data,4,1,0,https://medium.com/@kbalentine/where-does-your-company-fit-on-the-data-science-maturity-curve-a9eba2df0f86?source=tag_archive---------4-----------------------,https://medium.com/@kbalentine?source=tag_archive---------4-----------------------
Big Data in Political Campaign,"Actually, The election for President in 2019 was the first time for me. Lots of things that I had to",1,Ilmor Mahardika,NaN,2019,7,2,big-data,4,33,0,https://medium.com/@sonatailmor/big-data-in-political-campaign-51749f3e14f0?source=tag_archive---------5-----------------------,https://medium.com/@sonatailmor?source=tag_archive---------5-----------------------
Scala Days Conference | Tapad in Switzerland 2019,Celebrating 10 years of Scala with the largest Scala,1,Tapad Engineering,Tapad Engineering,2019,7,2,big-data,4,53,0,https://engineering.tapad.com/tapadatscaladays2019-b448d8fd2b56?source=tag_archive---------6-----------------------,https://engineering.tapad.com/@tapadeng?source=tag_archive---------6-----------------------
La tecnologa reducir la brecha entre ricos y pobres en el ftbol,NaN,1,Bryan Spira,NaN,2019,7,2,big-data,3,24,0,https://medium.com/@bryanspira/la-tecnolog%C3%ADa-reducir%C3%A1-la-brecha-entre-ricos-y-pobres-en-el-f%C3%BAtbol-e0a293975311?source=tag_archive---------7-----------------------,https://medium.com/@bryanspira?source=tag_archive---------7-----------------------
201913(Q1)(),"(2859)()298,934()148,200",1,Buffon Digital Technology,Buffondt,2019,7,2,big-data,3,0,0,https://medium.com/buffondt/2019%E5%B9%B41-3%E6%9C%88-q1-%E5%85%B6%E4%BB%96%E5%AE%B6%E7%94%A8%E9%9B%BB%E5%99%A8%E8%A3%BD%E9%80%A0%E6%A5%AD-%E5%BB%9A%E6%88%BF%E7%94%A8-%E9%8A%B7%E5%94%AE%E6%A6%82%E6%B3%81-85cc3d548b60?source=tag_archive---------8-----------------------,https://medium.com/@buffondt.inc?source=tag_archive---------8-----------------------
Snowflake Spark Connector ,,1,abehsu, ,2019,7,2,big-data,4,10,0,https://medium.com/%E3%84%9A%E5%8C%97%E7%9A%84%E6%89%80%E8%A6%8B%E6%89%80%E8%81%9E/snowflake-spark-connector-%E6%AC%8A%E9%99%90%E6%B7%BA%E8%AB%87-836910dc84fd?source=tag_archive---------9-----------------------,https://medium.com/@abego452?source=tag_archive---------9-----------------------
Data Curating: Challenges and Opportunities in the Startup Ecosystem,NaN,1,Oddup,NaN,2019,7,2,big-data,5,0,0,https://medium.com/@oddup/data-curating-challenges-and-opportunities-in-the-startup-ecosystem-5cc8d6185154?source=tag_archive---------10-----------------------,https://medium.com/@oddup?source=tag_archive---------10-----------------------
Good News: A Successful AI Project Will Cost 15 Times More Than You Think,NaN,1,Martha Amram,GLYNT.AI,2019,7,2,big-data,5,1,0,https://medium.com/glynt-ai/good-news-a-successful-ai-project-will-cost-15-times-more-than-you-think-b7341da7ba31?source=tag_archive---------11-----------------------,https://medium.com/@martha_71748?source=tag_archive---------11-----------------------
Preparing for Chinas Next Export: AI,by Samir Bohjwani,1,Dashmote,Dashmote,2019,7,2,big-data,5,159,0,https://medium.com/dashmote-snapshot/preparing-for-chinas-next-export-ai-52bc5dc941c0?source=tag_archive---------12-----------------------,https://medium.com/@dashmote?source=tag_archive---------12-----------------------
Matrix 2.0 Green Paper,"Matrixin yeni Green Paper, Matrix 2.0 Ekosistemini ana hatlaryla zetlemitir.",1,Matrix AI Network Turkey,NaN,2019,7,2,big-data,4,51,0,https://medium.com/@matrixaiturkey/matrix-2-0-green-paper-aca35c3210b4?source=tag_archive---------13-----------------------,https://medium.com/@matrixaiturkey?source=tag_archive---------13-----------------------
"Introducing source{d} Community Edition beta with built-in UI, dashboards and GitHub support",NaN,1,Victor Coisne,sourcedtech,2019,7,2,big-data,4,1,0,https://medium.com/sourcedtech/introducing-source-d-community-edition-beta-with-built-in-ui-dashboards-and-github-support-7b595e674439?source=tag_archive---------14-----------------------,https://medium.com/@vcoisne?source=tag_archive---------14-----------------------
", , : 3  Agile  Big Data ",NaN,1,Nick Komissarenko,NaN,2019,7,2,big-data,4,0,0,https://medium.com/@bigdataschool/%D0%B1%D1%8B%D1%81%D1%82%D1%80%D0%B5%D0%B5-%D0%B3%D0%B8%D0%B1%D1%87%D0%B5-%D1%81%D0%B0%D0%BC%D0%BE%D1%81%D1%82%D0%BE%D1%8F%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B5%D0%B9-3-%D0%BF%D1%80%D0%B8%D0%BD%D1%86%D0%B8%D0%BF%D0%B0-agile-%D0%B2-big-data-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0%D1%85-92f7c5bc9faf?source=tag_archive---------15-----------------------,https://medium.com/@bigdataschool?source=tag_archive---------15-----------------------
Snowflake Spark connection,test about warehouse,1,abehsu, ,2019,7,2,big-data,7,0,0,https://medium.com/%E3%84%9A%E5%8C%97%E7%9A%84%E6%89%80%E8%A6%8B%E6%89%80%E8%81%9E/snowflake-spark-connection-973917c01e45?source=tag_archive---------16-----------------------,https://medium.com/@abego452?source=tag_archive---------16-----------------------
"Announcing source{d} Enterprise Edition: A scalable, secure and extensible data platform for enterprises",NaN,1,Victor Coisne,sourcedtech,2019,7,2,big-data,4,0,0,https://medium.com/sourcedtech/announcing-source-d-enterprise-edition-a-scalable-secure-and-extensible-data-platform-for-7c7f7a1ad62f?source=tag_archive---------17-----------------------,https://medium.com/@vcoisne?source=tag_archive---------17-----------------------
"Snowflake Summit 2019: Highlights, Key takeaways, and more",NaN,1,Javed Syed,NaN,2019,7,2,big-data,4,0,0,https://medium.com/@JavedSyed_BDDLabs/snowflake-summit-2019-highlights-key-takeaways-and-more-1256e3ce3b5d?source=tag_archive---------18-----------------------,https://medium.com/@JavedSyed_BDDLabs?source=tag_archive---------18-----------------------
The 5 Pillars of IOT Data-driven Manufacturing,Everyone asks me how they should build their system,1,Hugo Vaz,NaN,2019,7,2,big-data,3,0,0,https://medium.com/@hugo.vaz7881/the-5-pillars-of-iot-data-driven-manufacturing-f0369994c8c9?source=tag_archive---------19-----------------------,https://medium.com/@hugo.vaz7881?source=tag_archive---------19-----------------------
3 Eye-Catching Features of Big data Might be the Real Problem,"Huge information has grabbed the eye of entrepreneurs as a worthwhile innovation. Be that as it may, has it been completely comprehended? As basic highlights of Big information are bringing about expanded costs and",0,Nousheerbabblu,NaN,2019,7,2,big-data,2,0,0,https://medium.com/@nousheerbabblu/3-eye-catching-features-of-big-data-might-be-the-real-problem-9ebc817bb0fd?source=tag_archive---------20-----------------------,https://medium.com/@nousheerbabblu?source=tag_archive---------20-----------------------
201913(Q1),"(2649)201913(Q1)()21,925()24,622,571",1,Buffon Digital Technology,Buffondt,2019,7,2,big-data,3,0,0,https://medium.com/buffondt/2019%E5%B9%B41-3%E6%9C%88-q1-%E5%85%B6%E4%BB%96%E5%85%89%E9%9B%BB%E6%9D%90%E6%96%99%E5%8F%8A%E5%85%83%E4%BB%B6%E8%A3%BD%E9%80%A0%E6%A5%AD-%E9%8A%B7%E5%94%AE%E6%A6%82%E6%B3%81-f9e037bf4dfd?source=tag_archive---------21-----------------------,https://medium.com/@buffondt.inc?source=tag_archive---------21-----------------------
A Marie Kondo Approach to Data Analytics,"Written by Grant Wernick, CEO of Insight Engines",1,Grant Wernick,NaN,2019,7,2,big-data,3,0,0,https://medium.com/@grant.wernick/a-marie-kondo-approach-to-data-analytics-2400280d9482?source=tag_archive---------22-----------------------,https://medium.com/@grant.wernick?source=tag_archive---------22-----------------------
Consultant Big Data,Venez mettre en place des solutions big data au sein de projets innovants,1,Nicolas Minelle,Bluescale,2019,7,2,big-data,2,0,0,https://medium.com/bluescale/consultant-big-data-28522c569ad6?source=tag_archive---------23-----------------------,https://medium.com/@nicolas.minelle?source=tag_archive---------23-----------------------
,TalkingData,1,Kim Hsiao,NaN,2019,7,2,big-data,2,0,0,https://medium.com/@kimz/%E4%BA%9E%E9%A6%AC%E9%81%9C%E6%98%AF%E6%80%8E%E6%A8%A3%E5%88%A9%E7%94%A8%E6%95%B8%E6%93%9A%E7%8D%B2%E5%BE%97%E7%AB%B6%E7%88%AD%E5%84%AA%E5%8B%A2%E7%9A%84-c758282151e9?source=tag_archive---------24-----------------------,https://medium.com/@kimz?source=tag_archive---------24-----------------------
All you need to know about data analysis and its tools,NaN,1,Neil Wilston,NaN,2019,7,2,big-data,3,0,0,https://medium.com/@neil.wilston123/what-is-data-analysis-a6522145a4f2?source=tag_archive---------25-----------------------,https://medium.com/@neil.wilston123?source=tag_archive---------25-----------------------
What Technologies Do CFOs Require for Leadership Success?,NaN,1,inVerita,NaN,2019,7,2,big-data,4,0,0,https://medium.com/@inverita/what-technologies-do-cfos-require-for-leadership-success-ebd7e7c38706?source=tag_archive---------26-----------------------,https://medium.com/@inverita?source=tag_archive---------26-----------------------
O que  MPP (Massively Parallel Processing) ?,"Quando estamos estudando Big Data, Cincia e/ou Engenharia de Dados, provavelmente j nos deparamos com a sigla MPP. Nos primrdios, o termo Big Data foi originado fazendo referncia a grandes volumes de dados, mas principalmente relacionado",0,Luiz Henrique Garetti,NaN,2019,7,2,big-data,2,0,0,https://medium.com/@luizh.rosario/falla-guys-a7ada9d53b1c?source=tag_archive---------27-----------------------,https://medium.com/@luizh.rosario?source=tag_archive---------27-----------------------
surveillance capitalism V,NaN,0,Kopjes Kattenoppas,NaN,2019,7,2,big-data,1,0,0,https://medium.com/@Kattenkopjes/surveillance-capitalism-v-6ec2a449d648?source=tag_archive---------28-----------------------,https://medium.com/@Kattenkopjes?source=tag_archive---------28-----------------------
Predictive Analytics | Best Course In Predictive Analytics in IndiaCompare And Choose | EdAuthority,Predictive Analytics | Best Course In Predictive Analytics in IndiaCompare And Choose | EdAuthority,0,Authority Course,NaN,2019,7,2,big-data,1,0,0,https://medium.com/@authoritycourse0/predictive-analytics-best-course-in-predictive-analytics-in-india-compare-and-choose-8c4aebd82a29?source=tag_archive---------29-----------------------,https://medium.com/@authoritycourse0?source=tag_archive---------29-----------------------
Dystopia to click on Ads,"Facebook, google are maliciously deliberately trying to make the world more polarized and encourage extremism. Most of our",0,Umesh Patil,NaN,2019,7,2,big-data,1,0,0,https://medium.com/@cheerfulumesh/dystopia-to-click-on-ads-fb3ed3dc42c3?source=tag_archive---------30-----------------------,https://medium.com/@cheerfulumesh?source=tag_archive---------30-----------------------
Growing Internet Penetration Will Transform Big Data Market By 2025,"San Francisco, 02 July 2019",0,Naresh Patil,NaN,2019,7,2,big-data,3,0,0,https://medium.com/@naresh_33971/growing-internet-penetration-will-transform-big-data-market-by-2025-eb95938055aa?source=tag_archive---------31-----------------------,https://medium.com/@naresh_33971?source=tag_archive---------31-----------------------
The Hitchhikers guide to handle Big Data using Spark,Not just an Introduction,1,Rahul Agarwal,Towards Data Science,2019,7,3,big-data,20,696,0,https://towardsdatascience.com/the-hitchhikers-guide-to-handle-big-data-using-spark-90b9be0fe89a?source=tag_archive---------0-----------------------,https://towardsdatascience.com/@rahul_agarwal?source=tag_archive---------0-----------------------
How we upgraded a 10 TB Elasticsearch cluster from 1.7 to 6.7,NaN,1,Germ n Krauss,devartis,2019,7,3,big-data,5,270,0,https://blog.devartis.com/how-we-upgraded-a-10-tb-elasticsearch-cluster-from-1-7-to-6-7-466f6a33a6ca?source=tag_archive---------1-----------------------,https://blog.devartis.com/@gikrauss?source=tag_archive---------1-----------------------
Benchmarking ORC improvements in Spark 2.3,Ive always been a big fan of Duke Nukem and his motto of Dont have time to play,1,Yousry Mohamed,NaN,2019,7,3,big-data,8,11,0,https://medium.com/@ylashin/benchmarking-orc-improvements-in-spark-2-3-a1f818a0a989?source=tag_archive---------2-----------------------,https://medium.com/@ylashin?source=tag_archive---------2-----------------------
Why Big Data And Machine Learning Are Important In Our Society,NaN,1,Terence Mills,AI.io,2019,7,3,big-data,5,189,0,https://medium.com/ai-io/why-big-data-and-machine-learning-are-important-in-our-society-b4e708d2c654?source=tag_archive---------3-----------------------,https://medium.com/@terence_mills?source=tag_archive---------3-----------------------
Tweets hashtags real-time processing with Faust,processing Apache Kafka events with Faust,1,Ignacio Peluffo,NaN,2019,7,3,big-data,4,70,0,https://medium.com/@ipeluffo/tweets-hashtags-real-time-processing-with-faust-1102a03ed86c?source=tag_archive---------4-----------------------,https://medium.com/@ipeluffo?source=tag_archive---------4-----------------------
Are You Ready for Personalized Pricing?,All prices are not created equal. Heres why.,1,Yannick Bikker,Noteworthy The Journal Blog,2019,7,3,big-data,5,248,0,https://blog.usejournal.com/personalized-pricing-cf4cf602b9fd?source=tag_archive---------5-----------------------,https://blog.usejournal.com/@yannickbikker?source=tag_archive---------5-----------------------
Integrating Streamr with Apache Spark,When building data architectures that need to be capable of,1,Santeri Juslenius,Streamr,2019,7,3,big-data,4,771,0,https://medium.com/streamrblog/integrating-streamr-with-apache-spark-4c049f2688a1?source=tag_archive---------6-----------------------,https://medium.com/@santeri.juslenius?source=tag_archive---------6-----------------------
New GCP Essentials videoData & Storage,This is probably one of the most challenging video for me to put together given the,1,Alexis MP,Google Cloud Community,2019,7,3,big-data,2,9,0,https://medium.com/google-cloud/new-gcp-essentials-video-data-storage-656a9a480317?source=tag_archive---------7-----------------------,https://medium.com/@alexismp?source=tag_archive---------7-----------------------
The Ethics Of Data GovernanceData Comes With Benefits And Liabilities,Data has never been more,1,Charles Towers-Clark,The Startup,2019,7,3,big-data,5,29,0,https://medium.com/swlh/the-ethics-of-data-governance-data-comes-with-benefits-and-liabilities-13d4eaa0f3b0?source=tag_archive---------8-----------------------,https://medium.com/@ctowersclark?source=tag_archive---------8-----------------------
Tame your Data now!,Manage your way (and data) to success,1,GETTY/IO,"Getty/IO Blog Javascript, AWS Blockchain",2019,7,3,big-data,6,112,0,https://blog.getty.io/tame-your-data-now-872d5497f592?source=tag_archive---------9-----------------------,https://blog.getty.io/@Gettyio?source=tag_archive---------9-----------------------
NaN,Data Analytics and its Importance,1,Dr. Kajal Rai Saraswat,NaN,2019,7,3,big-data,2,1,0,https://medium.com/@kajalrai.pu/data-analytics-and-its-importance-f1cac5fd9d7e?source=tag_archive---------10-----------------------,https://medium.com/@kajalrai.pu?source=tag_archive---------10-----------------------
Big opportunities for big data,"Big data is everywhere. It can help us make informed decisions to secure better outcomes, and it can help",1,Aaron McDonald,British Heart Foundation,2019,7,3,big-data,3,0,0,https://blog.bhf.org.uk/big-opportunities-for-big-data-ff9eddf5e348?source=tag_archive---------11-----------------------,https://blog.bhf.org.uk/@bhfblogemails_aaronmcdonald?source=tag_archive---------11-----------------------
Its all about data is it ?,Data. It is all about your data.,0,DTube,NaN,2019,7,3,big-data,2,2K,0,https://medium.com/@dtube/its-all-about-data-is-it-92ddae5ee72?source=tag_archive---------12-----------------------,https://medium.com/@dtube?source=tag_archive---------12-----------------------
An Outstanding and Modernized Approach of Digital Marketing With The Power of Data Science,NaN,1,Himani Bansal,NaN,2019,7,3,big-data,4,136,0,https://medium.com/@bansalhimani136/an-outstanding-and-modernized-approach-of-digital-marketing-with-the-power-of-data-science-f1ea773d3277?source=tag_archive---------13-----------------------,https://medium.com/@bansalhimani136?source=tag_archive---------13-----------------------
AnalyticsWhat is Missing?,Predictions about Analytics being the driver for the worlds businesses are not wrong. All business functions,1,Sheibban Pervez,Alphaa.AI,2019,7,3,big-data,2,4,0,https://medium.com/alphaa-ai/analytics-what-is-missing-30c9007eb276?source=tag_archive---------14-----------------------,https://medium.com/@sheibban?source=tag_archive---------14-----------------------
Digitale Technologie als Chanceunser Risikomodell,NaN,1,Birgit Hass,creditshelf,2019,7,3,big-data,4,0,0,https://medium.com/creditshelf/digitale-technologie-als-chance-unser-risikomodell-d3b442dbce9e?source=tag_archive---------15-----------------------,https://medium.com/@birgithass?source=tag_archive---------15-----------------------
Are we ready for Mega Data?,NaN,1,Ruta Skieceviciute,NaN,2019,7,3,big-data,4,0,0,https://medium.com/@ruta705/are-we-ready-for-mega-data-d363cc6364b5?source=tag_archive---------16-----------------------,https://medium.com/@ruta705?source=tag_archive---------16-----------------------
