Title,Subtitle,Image,Author,Publication,Year,Month,Day,Tag,Reading_Time,Claps,Comment,url,Author_url
"The Wild, Wild Apache Flink: Challenges and Opportunities",NaN,1,Alibaba Cloud,Data Driven Investor,2019,9,2,big-data,10,64,0,https://medium.com/datadriveninvestor/the-wild-wild-apache-flink-challenges-and-opportunities-4b85238f7857?source=tag_archive---------8-----------------------,https://medium.com/@Alibaba_Cloud?source=tag_archive---------8-----------------------
1#ReadingOI,,1,Yu Li, ZaTan,2019,9,2,big-data,5,0,0,https://medium.com/%E4%BB%8A%E6%97%A5%E9%9B%9C%E8%A8%98/1-reading-%E5%90%91%E5%A4%96%E7%9C%8B%E7%9A%84%E6%B4%9E%E8%A6%8Boi-ed2370b8c05d?source=tag_archive---------9-----------------------,https://medium.com/@qq851230?source=tag_archive---------9-----------------------
4 Things to remember when creating a Kafka topic,NaN,1,yoni farin,Coralogix Engineering,2019,9,2,big-data,3,2,0,https://medium.com/coralogix-engineering/4-things-to-remember-when-creating-a-kafka-topic-9e8e43f89c03?source=tag_archive---------10-----------------------,https://medium.com/@yoni_farin?source=tag_archive---------10-----------------------
IoT and Personalization: A Marriage Made in HeavenReadWrite,Who doesnt want insane traffic and,1,ReadWrite,ReadWrite,2019,9,2,big-data,7,2,0,https://medium.com/readwrite/iot-and-personalization-a-marriage-made-in-heaven-readwrite-b638dbfc6ba7?source=tag_archive---------11-----------------------,https://medium.com/@RWW?source=tag_archive---------11-----------------------
How to predict customer churn via Spark?,Customer is usually the most important thing for business. In,1,Zihuan Tang,NaN,2019,9,2,big-data,7,0,0,https://medium.com/@zihuantang/how-to-predict-customer-churn-via-spark-e9429201b0b3?source=tag_archive---------12-----------------------,https://medium.com/@zihuantang?source=tag_archive---------12-----------------------
Ambitious projects are usually irrationalcouple words about Synerises Culture & Goals,NaN,1,Jaro Krolewski,NaN,2019,9,2,big-data,7,0,0,https://medium.com/@jarokrolewski/ambitious-projects-are-usually-irrational-couple-words-about-synerises-culture-goals-ccd22795d55b?source=tag_archive---------13-----------------------,https://medium.com/@jarokrolewski?source=tag_archive---------13-----------------------
",      .",2019/09/01    ,1,YUNA Choi,bbko,2019,9,2,big-data,3,0,0,https://medium.com/bbko/%ED%88%AC%EB%B9%84%EC%BD%94-%EB%8C%80%ED%95%9C%EB%8F%84%EC%88%98%EC%9D%98%ED%95%99%ED%9A%8C%EC%97%90-%EC%83%88%EB%A1%9C%EC%9A%B4-%EC%9D%98%EB%A3%8C-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EA%B4%80%EB%A6%AC-%EC%8B%9C%EC%8A%A4%ED%85%9C%EC%9D%84-%EC%86%8C%EA%B0%9C%ED%95%98%EB%8B%A4-c299e5731b02?source=tag_archive---------14-----------------------,https://medium.com/@ync.edit?source=tag_archive---------14-----------------------
Using Artificial Intelligence to Create Massive Success,NaN,1,Daniel Meyer,NaN,2019,9,2,big-data,3,0,0,https://medium.com/@themightyd1_87735/using-artificial-intelligence-to-create-massive-success-9ca0858b5ce2?source=tag_archive---------15-----------------------,https://medium.com/@themightyd1_87735?source=tag_archive---------15-----------------------
Big Data in the oil and gas industry,According to experts during next 5 years the amount of all stored information will reach 163,1,TECHNOTEC,NaN,2019,9,2,big-data,2,13,0,https://medium.com/@Technotec_org/big-data-in-the-oil-and-gas-industry-ca7f5e5f353a?source=tag_archive---------16-----------------------,https://medium.com/@Technotec_org?source=tag_archive---------16-----------------------
How to get from Big to Smart Data,Data-based decisions require Smart Data. Big data cleansing and precise questions help reduce the,1,Nicole Schnetzer,Blog for Insights-driven Leaders,2019,9,2,big-data,4,10,0,https://medium.com/blog-for-insights-driven-leaders/how-to-get-from-big-to-smart-data-a2f4b9b1ba2d?source=tag_archive---------17-----------------------,https://medium.com/@nicole_echonovum?source=tag_archive---------17-----------------------
